Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,4,55,5,Some Random Commen with Id 0
1,0,4,89,6,Some Random Commen with Id 1
2,0,4,14,8,Some Random Commen with Id 2
3,0,4,68,5,Some Random Commen with Id 3
4,0,4,23,0,Some Random Commen with Id 4
5,0,4,101,4,Some Random Commen with Id 5
6,0,4,2,1,Some Random Commen with Id 6
7,1,4,167,6,Some Random Commen with Id 7
8,1,4,35,5,Some Random Commen with Id 8
9,1,4,132,3,Some Random Commen with Id 9
10,1,4,48,3,Some Random Commen with Id 10
11,1,4,67,2,Some Random Commen with Id 11
12,1,4,145,0,Some Random Commen with Id 12
13,1,4,86,0,Some Random Commen with Id 13
14,2,9,66,6,Some Random Commen with Id 14
15,2,9,135,4,Some Random Commen with Id 15
16,2,9,173,4,Some Random Commen with Id 16
17,2,9,66,0,Some Random Commen with Id 17
18,3,0,55,2,Some Random Commen with Id 18
19,3,0,136,7,Some Random Commen with Id 19
20,3,0,2,1,Some Random Commen with Id 20
21,3,0,154,4,Some Random Commen with Id 21
22,3,0,92,8,Some Random Commen with Id 22
23,3,0,182,0,Some Random Commen with Id 23
24,3,0,110,5,Some Random Commen with Id 24
25,4,6,164,3,Some Random Commen with Id 25
26,4,6,130,0,Some Random Commen with Id 26
27,4,6,105,9,Some Random Commen with Id 27
28,4,6,138,7,Some Random Commen with Id 28
29,4,6,88,0,Some Random Commen with Id 29
30,4,6,40,1,Some Random Commen with Id 30
31,4,6,93,8,Some Random Commen with Id 31
32,4,6,70,6,Some Random Commen with Id 32
33,4,6,193,2,Some Random Commen with Id 33
34,5,1,132,3,Some Random Commen with Id 34
35,5,1,20,6,Some Random Commen with Id 35
36,6,4,86,0,Some Random Commen with Id 36
37,6,4,157,6,Some Random Commen with Id 37
38,7,1,74,9,Some Random Commen with Id 38
39,8,2,131,9,Some Random Commen with Id 39
40,8,2,59,2,Some Random Commen with Id 40
41,9,0,162,1,Some Random Commen with Id 41
42,9,0,179,9,Some Random Commen with Id 42
43,10,1,79,1,Some Random Commen with Id 43
44,10,1,26,7,Some Random Commen with Id 44
45,10,1,60,8,Some Random Commen with Id 45
46,11,1,161,3,Some Random Commen with Id 46
47,11,1,87,3,Some Random Commen with Id 47
48,11,1,94,5,Some Random Commen with Id 48
49,11,1,21,4,Some Random Commen with Id 49
50,12,4,133,2,Some Random Commen with Id 50
51,12,4,165,8,Some Random Commen with Id 51
52,12,4,137,6,Some Random Commen with Id 52
53,12,4,180,0,Some Random Commen with Id 53
54,12,4,0,1,Some Random Commen with Id 54
55,13,2,5,3,Some Random Commen with Id 55
56,13,2,29,6,Some Random Commen with Id 56
57,13,2,197,6,Some Random Commen with Id 57
58,13,2,174,1,Some Random Commen with Id 58
59,14,1,118,5,Some Random Commen with Id 59
60,14,1,142,0,Some Random Commen with Id 60
61,14,1,184,6,Some Random Commen with Id 61
62,14,1,166,8,Some Random Commen with Id 62
63,14,1,116,3,Some Random Commen with Id 63
64,15,6,141,5,Some Random Commen with Id 64
65,15,6,16,6,Some Random Commen with Id 65
66,15,6,102,4,Some Random Commen with Id 66
67,16,2,170,5,Some Random Commen with Id 67
68,16,2,195,5,Some Random Commen with Id 68
69,16,2,128,1,Some Random Commen with Id 69
70,16,2,5,9,Some Random Commen with Id 70
71,16,2,7,4,Some Random Commen with Id 71
72,16,2,20,6,Some Random Commen with Id 72
73,18,4,21,5,Some Random Commen with Id 73
74,18,4,111,1,Some Random Commen with Id 74
75,19,6,178,6,Some Random Commen with Id 75
76,19,6,197,6,Some Random Commen with Id 76
77,19,6,100,6,Some Random Commen with Id 77
78,19,6,68,1,Some Random Commen with Id 78
79,21,5,67,9,Some Random Commen with Id 79
80,22,5,133,4,Some Random Commen with Id 80
81,22,5,155,1,Some Random Commen with Id 81
82,22,5,89,0,Some Random Commen with Id 82
83,23,1,147,9,Some Random Commen with Id 83
84,23,1,57,7,Some Random Commen with Id 84
85,23,1,155,9,Some Random Commen with Id 85
86,23,1,30,3,Some Random Commen with Id 86
87,23,1,10,9,Some Random Commen with Id 87
88,23,1,33,8,Some Random Commen with Id 88
89,24,0,33,9,Some Random Commen with Id 89
90,24,0,156,1,Some Random Commen with Id 90
91,24,0,49,8,Some Random Commen with Id 91
92,24,0,73,8,Some Random Commen with Id 92
93,24,0,25,6,Some Random Commen with Id 93
94,24,0,58,4,Some Random Commen with Id 94
95,24,0,54,1,Some Random Commen with Id 95
96,24,0,130,8,Some Random Commen with Id 96
97,25,5,98,4,Some Random Commen with Id 97
98,25,5,113,7,Some Random Commen with Id 98
99,26,0,35,8,Some Random Commen with Id 99
100,26,0,96,4,Some Random Commen with Id 100
101,26,0,79,2,Some Random Commen with Id 101
102,26,0,2,5,Some Random Commen with Id 102
103,26,0,65,7,Some Random Commen with Id 103
104,26,0,47,8,Some Random Commen with Id 104
105,27,0,41,2,Some Random Commen with Id 105
106,27,0,136,3,Some Random Commen with Id 106
107,27,0,39,2,Some Random Commen with Id 107
108,30,6,174,6,Some Random Commen with Id 108
109,30,6,57,0,Some Random Commen with Id 109
110,30,6,104,6,Some Random Commen with Id 110
111,30,6,177,0,Some Random Commen with Id 111
112,30,6,129,6,Some Random Commen with Id 112
113,31,9,44,5,Some Random Commen with Id 113
114,31,9,185,3,Some Random Commen with Id 114
115,31,9,98,6,Some Random Commen with Id 115
116,31,9,94,1,Some Random Commen with Id 116
117,31,9,167,3,Some Random Commen with Id 117
118,31,9,140,6,Some Random Commen with Id 118
119,31,9,160,1,Some Random Commen with Id 119
120,31,9,183,8,Some Random Commen with Id 120
